BLK 1
MOD 1000
PTH 02, 0.56  \\S504-1 to 5
PTH 03, 0.59  \\S504-1 to 6
PTH 04, 0.56  \\S504-1 to 7
PTH 05, 0.58  \\S504-1 to 8
PTH 06, 0.61  \\S504-1 to 9
PTH 07, 0.58  \\S504-1 to 10
PTH 10, 0.64  \\S504-2 to 3
PTH 11, 0.61  \\S504-2 to 4
PTH 12, 0.63  \\S504-2 to 5
PTH 13, 0.64  \\S504-2 to 6
PTH 14, 0.62  \\S504-2 to 7
PTH 15, 0.63  \\S504-2 to 8
PTH 16, 0.64  \\S504-2 to 9
PTH 17, 0.64  \\S504-2 to 10
MOD 4400
PTH 00, 0.63  \\S505-1 to 3
PTH 01, 0.59  \\S505-1 to 4
PTH 02, 0.59  \\S505-1 to 5
PTH 03, 0.60  \\S505-1 to 6
PTH 04, 0.63  \\S505-1 to 7
PTH 05, 0.62  \\S505-1 to 8
PTH 06, 0.64  \\S505-1 to 9
PTH 07, 0.62  \\S505-1 to 10
PTH 10, 0.69  \\S505-2 to 3
PTH 11, 0.66  \\S505-2 to 4
PTH 12, 0.65  \\S505-2 to 5
PTH 13, 0.67  \\S505-2 to 6
PTH 14, 0.70  \\S505-2 to 7
PTH 15, 0.68  \\S505-2 to 8
PTH 16, 0.70  \\S505-2 to 9
PTH 17, 0.69  \\S505-2 to 10
BLK 2
MOD 1000
PTH 00, 0.46  \\S301-97 to 98
PTH 01, 0.50  \\S301-99 to 100
PTH 02, 0.48  \\S301-101 to 102
PTH 03, 0.50  \\S301-103 to 104
PTH 04, 0.52  \\S301-105 to 106
PTH 05, 0.56  \\S301-107 to 108
PTH 06, 0.48  \\S301-109 to 110
PTH 07, 0.46  \\S301-111 to 112
PTH 08, 0.46  \\S301-113 to 114
PTH 09, 0.47  \\S301-115 to 116
PTH 10, 0.55  \\S301-117 to 118
PTH 11, 0.53  \\S301-119 to 120
PTH 12, 0.46  \\S301-121 to 122
PTH 13, 0.47  \\S301-123 to 124
PTH 14, 0.46  \\S301-125 to 126
PTH 15, 0.51  \\S301-127 to 128
PTH 16, 0.50  \\S301-129 to 130
PTH 17, 0.58  \\S301-131 to 132
PTH 18, 0.44  \\S301-133 to 134
PTH 19, 0.47  \\S301-135 to 136
PTH 20, 0.49  \\S301-137 to 138
PTH 21, 0.47  \\S301-139 to 140
PTH 22, 0.51  \\S301-141 to 142
PTH 23, 0.55  \\S301-143 to 144
PTH 24, 0.48  \\S301-145 to 146
PTH 25, 0.48  \\S301-147 to 148
PTH 26, 0.45  \\S301-149 to 150
PTH 27, 0.53  \\S301-151 to 152
PTH 28, 0.52  \\S301-153 to 154
PTH 29, 0.56  \\S301-155 to 156
PTH 30, 0.42  \\S301-157 to 158
PTH 31, 0.49  \\S301-159 to 160
PTH 32, 0.49  \\S301-161 to 162
PTH 33, 0.51  \\S301-163 to 164
PTH 34, 0.50  \\S301-165 to 166
PTH 35, 0.52  \\S301-167 to 168
